Applicant,Sökande,
Applicant Type,Sökande Typ,
Loan Amount cannot exceed Maximum Loan Amount of {0},Lånebeloppet kan inte överstiga Maximal låne Mängd {0},
Loan Application,Låneansökan,
Loan Management,Lånhantering,
Loan Repayment,Låneåterbetalning,
Monthly Repayment Amount cannot be greater than Loan Amount,Månatliga återbetalningen belopp kan inte vara större än Lånebelopp,
Payable Amount,Betalningsbart belopp,
Payment Date,Betalningsdag,
Please enter Repayment Periods,Ange återbetalningstider,
Please enter repayment Amount,Ange återbetalningsbeloppet,
Principal Amount,Kapitalbelopp,
Sanctioned Amount,Sanktionerade Belopp,
Approved,Godkänd,
Account {0} does not belong to company {1},Kontot {0} tillhör inte ett företag {1},
Add Loan Security,Lägg till säkerhetslån,
Against Loan,Mot lån,
Against Loan:,Mot lån:,
Amount paid cannot be zero,Betalt belopp kan inte vara noll,
Cannot create loan until application is approved,Kan inte skapa lån förrän ansökan har godkänts,
Loan Amount exceeds maximum loan amount of {0} as per proposed securities,Lånebeloppet överstiger det maximala lånebeloppet på {0} enligt föreslagna värdepapper,
Loan Disbursement,Lånutbetalning,
Loan Security,Lånsäkerhet,
Loan Security Pledge,Lånesäkerhetslöfte,
Loan Security Pledge Created : {0},Lånesäkerhetslöfte skapad: {0},
Loan Security Price,Lånesäkerhetspris,
Loan Security Price overlapping with {0},Lånesäkerhetspris som överlappar med {0},
Loan Security Unpledge,Lånesäkerhet unpledge,
Loan Security Value,Lånesäkerhetsvärde,
Loan amount cannot be greater than {0},Lånebeloppet kan inte vara större än {0},
Loan is mandatory,Lån är obligatoriskt,
Penalty Amount,Straffbelopp,
Please select Applicant Type first,Välj först sökande,
Please select Loan Type for company {0},Välj lånetyp för företag {0},
Pledge Status,Pantstatus,
Pledge Time,Panttid,
Proposed Pledges are mandatory for secured Loans,Föreslagna pantsättningar är obligatoriska för säkrade lån,
Qty or Amount is mandatroy for loan security,Antal eller belopp är obligatoriskt för lånets säkerhet,
Repayment Method is mandatory for term loans,Återbetalningsmetod är obligatorisk för lån,
Repayment Start Date is mandatory for term loans,Startdatum för återbetalning är obligatoriskt för lån,
Sanctioned Amount limit crossed for {0} {1},Sanktionerad beloppgräns för {0} {1},
