Applicant,Ariza beruvchi,
Applicant Type,Ariza beruvchi turi,
Loan Amount cannot exceed Maximum Loan Amount of {0},Kredit summasi {0} maksimum kredit summasidan oshib ketmasligi kerak.,
Loan Application,Kreditlash uchun ariza,
Loan Management,Kreditni boshqarish,
Loan Repayment,Kreditni qaytarish,
Monthly Repayment Amount cannot be greater than Loan Amount,Oylik qaytarib beriladigan pul miqdori Kredit miqdoridan kattaroq bo&#39;lishi mumkin emas,
Payable Amount,To&#39;lanadigan miqdor,
Payment Date,To&#39;lov sanasi,
Please enter Repayment Periods,To&#39;lov muddatlarini kiriting,
Please enter repayment Amount,To&#39;lov miqdorini kiriting,
Principal Amount,Asosiy miqdori,
Sanctioned Amount,Sanktsiya miqdori,
Approved,Tasdiqlandi,
Account {0} does not belong to company {1},{0} hisobi {1} kompaniyasiga tegishli emas,
Add Loan Security,Kredit xavfsizligini qo&#39;shing,
Against Loan,Qarzga qarshi,
Against Loan:,Qarzga qarshi:,
Amount paid cannot be zero,To&#39;langan miqdor nolga teng bo&#39;lmaydi,
Cannot create loan until application is approved,Ilova ma&#39;qullanmaguncha ssudani yaratib bo&#39;lmaydi,
Loan Amount exceeds maximum loan amount of {0} as per proposed securities,Kredit summasi taklif qilingan qimmatli qog&#39;ozlarga ko&#39;ra kreditning maksimal miqdoridan {0} dan ko&#39;pdir,
Loan Disbursement,Kreditni to&#39;lash,
Loan Security,Kredit xavfsizligi,
Loan Security Pledge,Kredit garovi,
Loan Security Pledge Created : {0},Kredit xavfsizligi garovi yaratilgan: {0},
Loan Security Price,Kredit kafolati narxi,
Loan Security Price overlapping with {0},Kredit garovi narxi {0} bilan mos keladi,
Loan Security Unpledge,Kredit xavfsizligini ta&#39;minlash,
Loan Security Value,Kredit kafolati qiymati,
Loan amount cannot be greater than {0},Kredit summasi {0} dan ko&#39;p bo&#39;lmasligi kerak,
Loan is mandatory,Qarz berish majburiydir,
Penalty Amount,Jarima miqdori,
Please select Applicant Type first,Avval Arizachi turini tanlang,
Please select Loan Type for company {0},Iltimos {0} uchun kredit turini tanlang.,
Pledge Status,Garov holati,
Pledge Time,Garov muddati,
Proposed Pledges are mandatory for secured Loans,Taklif etilayotgan garovlar kafolatlangan kreditlar uchun majburiydir,
Qty or Amount is mandatroy for loan security,Qty yoki Miqdor - bu kreditni ta&#39;minlash uchun mandatroy,
Repayment Method is mandatory for term loans,To&#39;lash usuli muddatli kreditlar uchun majburiydir,
Repayment Start Date is mandatory for term loans,To&#39;lovni boshlash muddati muddatli kreditlar uchun majburiydir,
Sanctioned Amount limit crossed for {0} {1},Sanktsiyalangan miqdor cheklovi {0} {1} uchun o&#39;tdi,
Sanctioned Loan Amount already exists for {0} against company {1},Sanksiya qilingan kredit miqdori {1} kompaniyasiga qarshi {0} uchun allaqachon mavjud,
Valid From Time must be lesser than Valid Upto Time.,Vaqtning amal qilishi Valid Upto vaqtidan kamroq bo&#39;lishi kerak.,
Loan Amount is mandatory,Qarz miqdori majburiydir,
Loan amount is mandatory,Qarz miqdori majburiydir,
No valid Loan Security Price found for {0},{0} uchun haqiqiy kredit xavfsizligi narxi topilmadi,
Loan Account and Payment Account cannot be same,Kredit hisobvarag&#39;i va to&#39;lov hisobi bir xil bo&#39;lishi mumkin emas,
Loan Security Pledge can only be created for secured loans,Kredit xavfsizligi garovi faqat ta&#39;minlangan kreditlar uchun tuzilishi mumkin,
Applicant Name,Ariza beruvchi nomi,
Member,Ro&#39;yxatdan,
Partially Disbursed,Qisman to&#39;langan,
Loan Closure Requested,Kreditni yopish so&#39;raladi,
Loan Details,Kredit tafsilotlari,
Loan Type,Kredit turi,
Loan Amount,Kredit miqdori,
Is Secured Loan,Kafolatlangan kredit,
Rate of Interest (%) / Year,Foiz stavkasi (%) / yil,
Disbursement Date,To&#39;lov sanasi,
Disbursed Amount,To&#39;langan miqdor,
Is Term Loan,Muddatli kredit,
Repayment Method,Qaytarilish usuli,
Repay Fixed Amount per Period,Davr uchun belgilangan miqdorni to&#39;lash,
Repay Over Number of Periods,Davr sonini qaytaring,
Repayment Period in Months,Oylardagi qaytarish davri,
Monthly Repayment Amount,Oylik to&#39;lov miqdori,
Repayment Start Date,To&#39;lov boshlanish sanasi,
Loan Security Details,Kredit xavfsizligi tafsilotlari,
Maximum Loan Value,Kreditning maksimal qiymati,
Account Info,Hisob ma&#39;lumotlari,
Loan Account,Kredit hisoboti,
Interest Income Account,Foiz daromadi hisob,
Penalty Income Account,Jazo daromadlari hisobi,
Repayment Schedule,To&#39;lov rejasi,
Total Payable Amount,To&#39;lanadigan qarz miqdori,
Total Principal Paid,Asosiy to&#39;langan pul,
