Applicant,Pareiškėjas,
Applicant Type,Pareiškėjo tipas,
Loan Amount cannot exceed Maximum Loan Amount of {0},Paskolos suma negali viršyti maksimalios paskolos sumos iš {0},
Loan Application,Paskolos taikymas,
Loan Management,Paskolų valdymas,
Loan Repayment,paskolos grąžinimo,
Monthly Repayment Amount cannot be greater than Loan Amount,Mėnesio grąžinimo suma negali būti didesnė nei paskolos suma,
Payable Amount,Mokėtina suma,
Payment Date,Mokėjimo diena,
Please enter Repayment Periods,Prašome įvesti grąžinimo terminams,
Please enter repayment Amount,Prašome įvesti grąžinimo suma,
Principal Amount,Pagrindinė suma,
Sanctioned Amount,sankcijos suma,
Approved,patvirtinta,
Account {0} does not belong to company {1},Sąskaita {0} nepriklauso Company {1},
Add Loan Security,Pridėti paskolos saugumą,
Against Loan,Prieš paskolą,
Against Loan:,Prieš paskolą:,
Amount paid cannot be zero,Sumokėta suma negali būti lygi nuliui,
Cannot create loan until application is approved,"Neįmanoma sukurti paskolos, kol nebus patvirtinta paraiška",
Loan Amount exceeds maximum loan amount of {0} as per proposed securities,Paskolos suma viršija maksimalią {0} paskolos sumą pagal siūlomus vertybinius popierius,
Loan Disbursement,Paskolos išmokėjimas,
Loan Security,Paskolos saugumas,
Loan Security Pledge,Paskolos užstatas,
Loan Security Pledge Created : {0},Sukurtas paskolos užstatas: {0},
Loan Security Price,Paskolos užstato kaina,
Loan Security Price overlapping with {0},Paskolos užstato kaina sutampa su {0},
Loan Security Unpledge,Paskolos užstatas,
Loan Security Value,Paskolos vertė,
Loan amount cannot be greater than {0},Paskolos suma negali būti didesnė nei {0},
Loan is mandatory,Paskola yra privaloma,
Penalty Amount,Baudos suma,
Please select Applicant Type first,Pirmiausia pasirinkite pareiškėjo tipą,
Please select Loan Type for company {0},Pasirinkite paskolos tipą įmonei {0},
Pledge Status,Įkeitimo būsena,
Pledge Time,Įkeitimo laikas,
Proposed Pledges are mandatory for secured Loans,Siūlomi įkeitimai yra privalomi užtikrinant paskolas,
Qty or Amount is mandatroy for loan security,Kiekis ar suma yra būtini paskolos užtikrinimui,
Repayment Method is mandatory for term loans,Grąžinimo būdas yra privalomas terminuotoms paskoloms,
Repayment Start Date is mandatory for term loans,Grąžinimo pradžios data yra privaloma terminuotoms paskoloms,
Sanctioned Amount limit crossed for {0} {1},Sankcionuota {0} {1} peržengta sumos riba,
Sanctioned Loan Amount already exists for {0} against company {1},{0} įmonei {1} jau yra sankcionuotos paskolos suma,
Valid From Time must be lesser than Valid Upto Time.,Galioja nuo laiko turi būti mažesnė nei galiojanti iki laiko.,
Loan Amount is mandatory,Paskolos suma yra privaloma,
Loan amount is mandatory,Paskolos suma yra privaloma,
No valid Loan Security Price found for {0},"Nerasta tinkama paskolos užtikrinimo kaina, skirta {0}",
Loan Account and Payment Account cannot be same,Paskolos ir mokėjimo sąskaitos negali būti vienodos,
Loan Security Pledge can only be created for secured loans,Paskolos užtikrinimo įkeitimas gali būti sudaromas tik užtikrinant paskolas,
Applicant Name,Vardas pareiškėjas,
Member,Narys,
Partially Disbursed,dalinai Išmokėta,
Loan Closure Requested,Prašoma paskolos uždarymo,
Loan Details,paskolos detalės,
Loan Type,paskolos tipas,
Loan Amount,Paskolos suma,
Is Secured Loan,Yra užtikrinta paskola,
Rate of Interest (%) / Year,Palūkanų norma (%) / metus,
Disbursement Date,išmokėjimas data,
Disbursed Amount,Išmokėta suma,
Is Term Loan,Yra terminuota paskola,
Repayment Method,grąžinimas būdas,
